name,gender,email
Bùi Nghĩa Hòa,0,student1@gmail.com
Đinh Lệ Nhi,1,student2@gmail.com
Phan Ðình Luận,0,student3@gmail.com
Vũ Hiệp Hòa,0,student4@gmail.com
Nguyễn Việt Tiến,0,student5@gmail.com
Trần Quỳnh Hương,1,student6@gmail.com
Hoàng Thục Trinh,1,student7@gmail.com
Tô Bảo Tín,0,student8@gmail.com
Ngô Kim Hương,1,student9@gmail.com
Đỗ Nam Thanh,0,student10@gmail.com
Tô Hiếu Giang,1,student11@gmail.com
Đỗ Ánh Linh,1,student12@gmail.com
Phan Nhã Trúc,1,student13@gmail.com
Võ Kim Long,0,student14@gmail.com
Phạm Ðình Hợp,0,student15@gmail.com
Lê Thiên Phương,1,student16@gmail.com
Lã Ðức Thành,0,student17@gmail.com
Hồ Ngọc Ðào,1,student18@gmail.com
Phạm Minh Vũ,0,student19@gmail.com
Phan Quỳnh Nhung,1,student20@gmail.com
Phan Thúy My,1,student21@gmail.com
Phùng Việt Dương,0,student22@gmail.com
Trần Xuân Hàm,0,student23@gmail.com
Phạm Thanh Trúc,1,student24@gmail.com
Hoàng Gia Phong,0,student25@gmail.com
Phùng Tố Uyên,1,student26@gmail.com
Lê Tuấn Hoàng,0,student27@gmail.com
Phan Hiền Thục,1,student28@gmail.com
Đặng Ðức Anh,0,student29@gmail.com
Hoàng Ngọc Khương,0,student30@gmail.com
Tô Ngọc Dũng,0,student31@gmail.com
Võ Quang Ninh,0,student32@gmail.com
Phạm Việt Chính,0,student33@gmail.com
Lã Yến Trinh,1,student34@gmail.com
Hoàng Quỳnh Lâm,1,student35@gmail.com
Phạm Thế Dân,0,student36@gmail.com
Vũ Trường Sa,0,student37@gmail.com
Bùi Minh Hồng,1,student38@gmail.com
Ngô Mộng Hương,1,student39@gmail.com
Dương Ngọc Thạch,0,student40@gmail.com
Lê Huệ Linh,1,student41@gmail.com
Ngô Xuân Mai,1,student42@gmail.com
Dương Cẩm Hạnh,1,student43@gmail.com
Lý Minh Khánh,0,student44@gmail.com
Trần Thủy Nguyệt,1,student45@gmail.com
Nguyễn Trung Ðức,0,student46@gmail.com
Dương Phương Chi,1,student47@gmail.com
Lã Thụy Lâm,1,student48@gmail.com
Trần Thanh Hiền,1,student49@gmail.com
Ngô Ngọc Minh,0,student50@gmail.com
Đinh Xuân Phương,1,student51@gmail.com
Đinh Ngọc Huệ,1,student52@gmail.com
Lã Hoàng Thái,0,student53@gmail.com
Nguyễn Tuyết Hoa,1,student54@gmail.com
Phùng Trường Thành,0,student55@gmail.com
Hoàng Gia Nghị,0,student56@gmail.com
Hoàng Bảo Huy,0,student57@gmail.com
Phùng Hữu Thiện,0,student58@gmail.com
Đinh Minh Trí,0,student59@gmail.com
Hoàng Kiên Bình,0,student60@gmail.com
Ngô Hải Duyên,1,student61@gmail.com
Lê Trọng Tường,0,student62@gmail.com
