name,gender,email,idSubject
Võ Bạch Hoa,1,Teacher1@gmail.com,148
Hoàng Quang Trung,0,Teacher2@gmail.com,123
Bùi Thành Công,0,Teacher3@gmail.com,60
Đỗ Thục Khuê,1,Teacher4@gmail.com,70
Lý Trúc Lan,1,Teacher5@gmail.com,177
Phan Nhã Trang,1,Teacher6@gmail.com,161
Dương Quốc Huy,0,Teacher7@gmail.com,72
Đặng Cát Cát,1,Teacher8@gmail.com,154
Phùng Tường Vy,1,Teacher9@gmail.com,104
Đặng Duy Hạnh,1,Teacher10@gmail.com,24
Đỗ Thúy Ngà,1,Teacher11@gmail.com,75
Đinh Bảo Uyên,1,Teacher12@gmail.com,116
Phùng Diễm Hạnh,1,Teacher13@gmail.com,159
Dương Thành Khiêm,0,Teacher14@gmail.com,11
Hoàng Cát Tiên,1,Teacher15@gmail.com,53
Lã Xuân Bình,0,Teacher16@gmail.com,168
Đinh Duy Luận,0,Teacher17@gmail.com,94
Hoàng Hồ Bắc,0,Teacher18@gmail.com,180
Đinh Thiện Khiêm,0,Teacher19@gmail.com,90
Lê Minh Hiền,1,Teacher20@gmail.com,128
Nguyễn Bảo Thúy,1,Teacher21@gmail.com,115
Ngô Huệ Thương,1,Teacher22@gmail.com,3
Lã Phương Thảo,1,Teacher23@gmail.com,114
Đỗ Duyên Hồng,1,Teacher24@gmail.com,107
Lê Tâm Đan,1,Teacher25@gmail.com,13
Đinh Thụy Trâm,1,Teacher26@gmail.com,35
Đặng Chí Thanh,0,Teacher27@gmail.com,2
Đặng Ðức Toản,0,Teacher28@gmail.com,19
Bùi Nghi Xuân,1,Teacher29@gmail.com,147
Hồ Hướng Thiện,0,Teacher30@gmail.com,48
Tô Hạ Giang,1,Teacher31@gmail.com,46
Ngô Thy Oanh,1,Teacher32@gmail.com,181
Hoàng Diễm Hương,1,Teacher33@gmail.com,158
Trần Minh Danh,0,Teacher34@gmail.com,177
Đinh Thương Nga,1,Teacher35@gmail.com,35
Hoàng Phong Châu,0,Teacher36@gmail.com,56
Phan Băng Băng,1,Teacher37@gmail.com,105
Hồ Nghi Minh,1,Teacher38@gmail.com,199
Võ Quốc Hùng,0,Teacher39@gmail.com,21
Dương Phú Hải,0,Teacher40@gmail.com,51
Nguyễn Tường Chinh,1,Teacher41@gmail.com,79
Võ Kiên Cường,0,Teacher42@gmail.com,111
Hồ Bích Hải,1,Teacher43@gmail.com,48
Tô Tâm Hạnh,1,Teacher44@gmail.com,47
Phan Liên Như,1,Teacher45@gmail.com,65
Đỗ Thảo Nhi,1,Teacher46@gmail.com,97
Trần Triều Thanh,1,Teacher47@gmail.com,121
Tô Tiến Ðức,0,Teacher48@gmail.com,146
Phùng Bích Ðiệp,1,Teacher49@gmail.com,78
Vũ Bích Châu,1,Teacher50@gmail.com,142
Phạm Phương Lan,1,Teacher51@gmail.com,153
Lê Mạnh Tấn,0,Teacher52@gmail.com,153
Phạm Phong Châu,0,Teacher53@gmail.com,127
Trần Bảo Bình,1,Teacher54@gmail.com,100
Tô Xuân Nương,1,Teacher55@gmail.com,72
Ngô Hiếu Khanh,1,Teacher56@gmail.com,121
Lê Chi Lan,1,Teacher57@gmail.com,110
Đinh Thanh Hiếu,1,Teacher58@gmail.com,174
Vũ Hữu Thực,0,Teacher59@gmail.com,193
Dương Thanh Toản,0,Teacher60@gmail.com,199
Đinh Mỹ Hiệp,1,Teacher61@gmail.com,74
Bùi Quốc Phong,0,Teacher62@gmail.com,86
Nguyễn Linh Nhi,1,Teacher63@gmail.com,38
Ngô Hồng Hạnh,1,Teacher64@gmail.com,62
Hồ Thanh Lan,1,Teacher65@gmail.com,119
